underlying,week_start,week_end,pnl,spot_start,spot_end,move_pct,trailing_vol,short_target,breached_short,breach_amount
NFLX,2026-07-06,2026-07-10,20.98649999999907,76.02,73.37,-0.034859247566429774,0.41221681335791166,72.73952199407175,False,0.0
NFLX,2026-07-13,2026-07-17,-86.10149999998976,73.83,68.95,-0.06609779222538258,0.4193628126221026,70.58879613407196,True,1.6387961340719528
NFLX,2026-07-20,2026-07-24,10.991500000003725,67.6,70.09,0.03683431952662736,0.4713995477836783,64.26405085848133,False,0.0
NFLX,2026-07-27,2026-07-31,14.990499999999884,70.4,71.71,0.018607954545454376,0.4361462351246746,67.1856856251763,False,0.0
NFLX,2026-08-03,2026-08-07,39.97600000000966,73.33,74.14,0.011045956634392503,0.35162982222016453,70.63070127522995,False,0.0
NFLX,2026-08-10,2026-08-14,34.98049999999057,76.29,78.16,0.02451173155066182,0.34524324607203916,73.53274857627838,False,0.0
NFLX,2026-08-17,2026-08-21,30.982499999998254,76.02,79.59,0.04696132596685093,0.2924563394600302,73.69259229074697,False,0.0
NFLX,2026-08-24,2026-08-28,17.987999999997555,80.01,81.72,0.021372328458942554,0.3207855419932208,77.32315495914149,False,0.0
AMD,2026-06-01,2026-06-05,49.721000000005006,510.13,466.38,-0.08576245270813322,0.8887350599323149,462.6690156812799,False,0.0
AMD,2026-06-08,2026-06-12,98.61549999999988,490.33,511.57,0.043317765586441806,0.7942075066933568,449.5632568908438,False,0.0
AMD,2026-06-15,2026-06-18,44.6475000000064,547.26,537.37,-0.018071848846983127,0.8069516933604844,507.22356138024475,False,0.0
AMD,2026-06-22,2026-06-26,76.56350000000384,551.63,521.58,-0.05447491978318793,0.8230859383070346,504.09903599390424,False,0.0
AMD,2026-06-29,2026-07-02,49.67500000000291,539.49,517.82,-0.04016756566386765,0.8025473752090304,500.23741408684305,False,0.0
AMD,2026-07-06,2026-07-10,62.65649999999732,552.05,557.89,0.010578751924644565,0.8910901257042801,500.5528008779897,False,0.0
AMD,2026-07-13,2026-07-17,99.5399999999936,534.39,495.76,-0.07228802934186641,0.8094375962376913,489.1080356547335,False,0.0
AMD,2026-07-20,2026-07-24,56.25650000000314,503.57,521.95,0.03649939432452301,0.7280733325626871,465.1888010599113,False,0.0
